Filename,TotalTime,TimeJob1,TimeJob2,Reducers,InMapper
50.txt,50.994279408,29.300818627,21.693460781,1,true
50.txt,57.194307062,19.087620027,38.106687035,3,true
50.txt,54.484397826000006,25.652705385,28.831692441,5,true
1000.txt,44.832929500999995,19.221814084,25.611115417,1,true
1000.txt,45.681608108,19.061776394,26.619831714,3,true
1000.txt,60.231217777,19.10550838,41.125709397,5,true
30000.txt,149.160227301,25.856634603,123.303592698,1,true
30000.txt,146.043991508,19.233366113,126.810625395,3,true
30000.txt,143.00518356499998,19.230167048,123.775016517,5,true
newyorktimes2.txt,269.87009068599997,25.28493309,244.585157596,1,true
newyorktimes2.txt,174.022693626,48.519136857,125.503556769,3,true
newyorktimes2.txt,156.785873046,24.212235611,132.573637435,5,true
newyorktimes.txt,483.86195232,46.618616007,437.243336313,1,true
newyorktimes.txt,494.663360284,52.61365174,442.049708544,3,true
newyorktimes.txt,488.054051097,52.644690125,435.409360972,5,true
50.txt,48.826602513,22.112249162,26.714353351,3,false
1000.txt,51.010758444000004,22.301464226,28.709294218,3,false
30000.txt,292.856106871,72.706948697,220.149158174,3,false
newyorktimes2.txt,477.414387173,82.837386142,394.577001031,3,false
newyorktimes_half.txt,373.54628987899997,33.747144028,339.799145851,3,true
nyt3.txt,145.189201792,26.720686958,118.468514834,3,true
